Food Name-Code-Portion (g)-Main Ingredients (Top 3)-Type
Catnip Cheesecake-M30W001-120-Cheese, Full Fat Cream, Flour-Decadent Dessert
Mane Cookies-M30W002-40-Flour, Powdered Sugar, Brown Sugar-Decadent Dessert
Meowcaroons-M30W003-20-Eggs, Powdered Sugar, Nuts-Decadent Dessert
Whisker Whipped Creampuff-M30W004-60-Full Fat Cream, Powdered Sugar, Flour-Decadent Dessert
Bengal Banana Bread-M30W005-100-Fruit, Flour, Honey-Healthy Treats
Persian Pistachio Praline-M30W006-30-Nuts, Butter, Flour-Decadent Dessert
Purrfect Peach Pie-M30W007-150-Fruit, Flour, Brown Sugar-Healthy Treats
Tabby Treacle Tart-M30W008-160-Brown Sugar, Flour, Eggs-Decadent Dessert
Feline Fruit Cake-M30W009-120-Eggs, Fruit, Brown Sugar-Decadent Dessert
Cheshire Cobbler-M30W010-180-Powdered Sugar, Fruit, Eggs-Decadent Dessert
Zoomie Zucchini Bread-M30W011-100-Veggies, Flour, Eggs-Healthy Treats
Calico Cheese Churro-M30W012-40-Cheese, Flour, Butter-Decadent Dessert
Berry Smoothie Bowl-M30W013-200-Fruit, Nuts, Chocolate-Healthy Treats
Chia Seed Purrding-M30W014-120-Milk, Nuts, Honey-Healthy Treats
Matcha Spinach Energy Bites-M30W015-30-Veggies, Eggs, Nuts-Healthy Treats
Tomcat Tiramisu-M30W016-130-Chocolate, Full Fat Cream, Cheese-Decadent Dessert
Nine Lives Nice Cream-M30W017-100-Milk, Full Fat Cream, Nuts-Healthy Treats
Scottish Fold Sticky Toffee Pudding-M30W018-150-Brown Sugar, Full Fat Cream, Honey-Decadent Dessert
Cat Nap Creme Brulee-M30W019-120-Full Fat Cream, Eggs, Brown Sugar-Decadent Dessert
Sphynx Spice Muffins-M30W020-100-Milk, Flour, Nuts-Healthy Treats
Cinnamon Roasted Bear Claws-M30W021-70-Flour, Eggs, Nuts-Healthy Treats
Norwegian Forest Cake-M30W022-160-Chocolate, Butter, Brown Sugar-Decadent Dessert
British Shortcake-M30W023-80-Flour, Eggs, Powdered Sugar-Decadent Dessert
Sesame Ragdoll Cookies-M30W024-40-Nuts, Flour, Eggs-Healthy Treats
Avocado Chocolate Mouse Bowl-M30W025-150-Fruit, Chocolate, Nuts-Healthy Treats
Greek Yogurt Purrfait-M30W026-180-Milk, Fruit, Eggs-Healthy Treats
Berry Panna Catta-M30W027-120-Fruit, Milk, Honey-Healthy Treats
Siamese Chocolate Dipped Strawberries-M30W028-50-Fruit, Chocolate, Nuts-Healthy Treats
LaPermkin Pie-M30W029-150-Fruit, Flour, Brown Sugar-Healthy Treats
Egyptian Mau Eclairs-M30W030-80-Brown Sugar, Chocolate, Full Fat Cream-Decadent Dessert
